SL_NO,STATE_NAME,UNIVERSITY_NAME,COLLEGE_NAME,DISTRICT_NAME,TYPE_OF_DIPLOMA_INSTITUTE,STUDENT_ENROLMENT_MALE,STUDENT_ENROLMENT_FEMALE,STUDENT_ENROLMENT_TOTAL,NUMBER_OF_TEACHER_MALE,NUMBER_OF_TEACHER_FEMALE,NUMBER_OF_TEACHER_TOTAL,LAB_FACILITIES,HOSTEL_FACILITIES,STUDENT_FACULTY_RATIO,SCORE
75,Chhatisgarh,Chhattisgarh Swami Vivekanand Technical University Bhilai (Id: U0083),Govt.Polytechnic Janjgir Champa (Id: C16633),Janjgir  Champa,Teacher Training,268,82,350,9,4,13,0,1,26.93,12.31
76,Chhatisgarh,Chhattisgarh Swami Vivekanand Technical University Bhilai (Id: U0083),Govt. Polytechnic  Jashpur. (Id: C15655),Jashpur,Technical/Polytechnic,226,32,258,7,2,9,1,0,28.67,12.89
77,Chhatisgarh,Chhattisgarh Swami Vivekanand Technical University Bhilai (Id: U0083),Govt.Polytechnic Kabirdham Kawardha (Id: C15634),Kabeerdham,Technical/Polytechnic,207,21,228,12,6,18,0,0,12.67,4.23
78,Chhatisgarh,Chhattisgarh Swami Vivekanand Technical University Bhilai (Id: U0083),Govt. Polytechnic Kanker (Id: C15675),Uttar Bastar Kanker,Technical/Polytechnic,224,54,278,13,5,18,1,1,15.45,11.82
79,Chhatisgarh,Chhattisgarh Swami Vivekanand Technical University Bhilai (Id: U0083),Govt.Polytechnic Khairagarh (Id: C15597),Rajnandgaon,Technical/Polytechnic,556,0,556,13,7,20,0,0,27.8,9.27
80,Chhatisgarh,Chhattisgarh Swami Vivekanand Technical University Bhilai (Id: U0083),Govt.PolytechnicKorba (Id: C16307),Korba,Technical/Polytechnic,628,123,751,10,9,19,1,1,39.53,19.85
81,Chhatisgarh,Chhattisgarh Swami Vivekanand Technical University Bhilai (Id: U0083),Govt. Polytechnic Mahasamund (Id: C15633),Mahasamund,Technical/Polytechnic,291,81,372,14,6,20,0,0,18.6,6.2
82,Chhatisgarh,Chhattisgarh Swami Vivekanand Technical University Bhilai (Id: U0083),Govt. Polytechnic Narayanpur (Id: C15604),Narayanpur,Technical/Polytechnic,155,21,176,13,12,25,1,0,7.04,5.68
83,Chhatisgarh,Chhattisgarh Swami Vivekanand Technical University Bhilai (Id: U0083),Govt. Polytechnic Raigarh (Id: C16306),Raigarh,Technical/Polytechnic,935,224,1159,28,14,42,0,1,27.6,12.54
84,Chhatisgarh,Chhattisgarh Swami Vivekanand Technical University Bhilai (Id: U0083),Govt.Polytechnic Takhatpur (Id: C15635),Bilaspur,Technical/Polytechnic,222,30,252,12,3,15,1,1,16.8,12.27
85,Chhatisgarh,Chhattisgarh Swami Vivekanand Technical University Bhilai (Id: U0083),IBT College of Diploma Engg.Berla Road Ahiwara Nandini Road (Id: C15612),Durg,Technical/Polytechnic,0,0,0,0,0,0,0,1,0,3.34
86,Chhatisgarh,Chhattisgarh Swami Vivekanand Technical University Bhilai (Id: U0083),J K Institute of Pharmacy Near Gatora Railway Station (Id: C15637),Bilaspur,Technical/Polytechnic,87,26,113,6,2,8,1,0,14.13,8.05
