SL_NO,STATE_NAME,UNIVERSITY_NAME,COLLEGE_NAME,DISTRICT_NAME,TYPE_OF_DIPLOMA_INSTITUTE,STUDENT_ENROLMENT_MALE,STUDENT_ENROLMENT_FEMALE,STUDENT_ENROLMENT_TOTAL,NUMBER_OF_TEACHER_MALE,NUMBER_OF_TEACHER_FEMALE,NUMBER_OF_TEACHER_TOTAL,LAB_FACILITIES,HOSTEL_FACILITIES,STUDENT_FACULTY_RATIO,SCORE
739,Rajasthan,Rajasthan University Jaipur (Id: U0422),B S Memorial B.Ed. College Sikar (Id: C38483),Sikar,Teacher Training,45,55,100,8,0,8,1,0,12.5,7.5
740,Rajasthan,Rajasthan University Jaipur (Id: U0422),Cambridge Court College of Edu. Jaipur (Id: C38384),Jaipur,Teacher Training,0,0,0,0,0,0,0,0,0,0
741,Rajasthan,Rajasthan University Jaipur (Id: U0422),Indian Girls College of Edu. Jhunjhunun (Id: C38476),Jhunjhunun,Teacher Training,0,0,0,0,0,0,0,0,0,0
742,Rajasthan,Rajasthan University Jaipur (Id: U0422),Lord's International College for Teachers Training Alwar (Id: C38784),Alwar,Teacher Training,108,83,191,6,11,17,0,1,11.24,7.08
743,Rajasthan,Rajasthan University Jaipur (Id: U0422),Manu Oxfordt TT College Jhunjhunun (Id: C39033),Jhunjhunun,Teacher Training,0,0,0,0,0,0,1,1,0,6.67
744,Rajasthan,Rajasthan University Jaipur (Id: U0422),MKB Mahila B.Ed. Mahavi. Jaipur (Id: C38793),Jaipur,Teacher Training,97,0,97,9,0,9,1,0,10.78,6.93
745,Rajasthan,Rajasthan University Jaipur (Id: U0422),Modern TT CDollege Jhunjhunun (Id: C38877),Jhunjhunun,Teacher Training,0,0,0,0,0,0,0,0,0,0
746,Rajasthan,Rajasthan University Jaipur (Id: U0422),Neelkanth TT College Jhunjhunun (Id: C38567),Jhunjhunun,Teacher Training,18,38,56,6,1,7,0,0,8,2.67
747,Rajasthan,Rajasthan University Jaipur (Id: U0422),New Rajasthan Women TT College Jhunjhunun (Id: C38599),Jhunjhunun,Teacher Training,0,100,100,2,6,8,0,1,12.5,7.5
748,Rajasthan,Rajasthan University Jaipur (Id: U0422),Rao B.Ed. College Alwar (Id: C39151),Alwar,Teacher Training,70,30,100,5,3,8,1,1,12.5,10.84
749,Rajasthan,Rajasthan University Jaipur (Id: U0422),Shadi Lal Kataria Memorial Women's TT College Jhunjhunun (Id: C38361),Jhunjhunun,Teacher Training,0,0,0,0,0,0,1,0,0,3.34
750,Rajasthan,Rajasthan University Jaipur (Id: U0422),Shaurya Edu. Inst. Bhartpur (Id: C39070),Bharatpur,Teacher Training,0,0,0,0,0,0,0,1,0,3.34
751,Rajasthan,Rajasthan University Jaipur (Id: U0422),Shekhawati Mahila Shikshak Prashikshan Mahavi. Sikar (Id: C38871),Sikar,Teacher Training,0,98,98,1,0,1,0,1,98,36
752,Rajasthan,Rajasthan University Jaipur (Id: U0422),Shekhawati TT College. Jhunjhunun (Id: C39080),Jhunjhunun,Teacher Training,0,0,0,0,0,0,1,0,0,3.34
753,Rajasthan,Rajasthan University Jaipur (Id: U0422),Shri Nathmal Todi B.Ed. College Sikar (Id: C38441),Sikar,Teacher Training,65,34,99,4,4,8,1,0,12.38,7.46
754,Rajasthan,Rajasthan University Jaipur (Id: U0422),Shri Rishikul B.Ed. College Sikar (Id: C38577),Sikar,Teacher Training,48,52,100,5,3,8,1,0,12.5,7.5
755,Rajasthan,Rajasthan University Jaipur (Id: U0422),Smt. Ramkumari TT College Jhunjhunun (Id: C38462),Jhunjhunun,Teacher Training,0,0,0,0,0,0,1,1,0,6.67
756,Rajasthan,Rajasthan University Jaipur (Id: U0422),SS Jain Subodh Mahila TT college Jaipur (Id: C38912),Jaipur,Teacher Training,0,232,232,1,18,19,0,1,12.22,7.41
757,Rajasthan,Rajasthan University Jaipur (Id: U0422),Sunrise Gurukul TT College Sikar (Id: C38763),Sikar,Teacher Training,57,43,100,8,0,8,1,0,12.5,7.5
758,Rajasthan,Rajasthan University Jaipur (Id: U0422),Trilok Singh TT College Sikar (Id: C39139),Sikar,Teacher Training,36,29,65,3,3,6,1,0,10.84,6.95
759,Rajasthan,Rajasthan University Jaipur (Id: U0422),Yaduvanshi College of EducationJhunjhunun (Id: C38951),Jhunjhunun,Teacher Training,72,125,197,11,4,15,0,0,13.14,4.38
760,Rajasthan,Rajasthan University of Health Sciences Jaipur (Id: U0420),AKASHDEEP COLLEGE OF PHARMACY JAIPUR (Id: C47087),Jaipur,Technical/Polytechnic,109,9,118,7,1,8,1,1,14.75,11.59
761,Rajasthan,Rajasthan University of Health Sciences Jaipur (Id: U0420),KRISH0 DEVI MAHESWARI PHARMACY COLLEGE JHUNJHUNU (Id: C47146),Jhunjhunun,Technical/Polytechnic,98,18,116,10,1,11,1,0,10.55,6.85
762,Rajasthan,Rajasthan University of Health Sciences Jaipur (Id: U0420),NEHRU MEMORIAL COLLEGE OF PHARMACY HANUMANGARH (Id: C47083),Hanumangarh,Technical/Polytechnic,87,9,96,5,0,5,0,1,19.2,9.74
763,Rajasthan,Rajasthan University of Health Sciences Jaipur (Id: U0420),PARMA0ND COLLEGE OF TECHNOLOGY SRIGANGA0GAR (Id: C47226),Ganganagar,Technical/Polytechnic,79,6,85,7,0,7,1,0,12.15,7.39
764,Rajasthan,Rajasthan University of Health Sciences Jaipur (Id: U0420),R R COLLEGE OF NURSING AJMER (Id: C47045),Ajmer,Nursing,211,90,301,21,17,38,1,0,7.93,5.98
765,Rajasthan,Rajasthan University of Health Sciences Jaipur (Id: U0420),SHRI BAJRANG COLLEGE OF PHARMACY BHARATPUR (Id: C47060),Bharatpur,Technical/Polytechnic,69,4,73,7,0,7,1,1,10.43,10.15
766,Rajasthan,Rashtriya Sanskrit Sansthan New Delhi (Id: U0115),JAIPUR CAMPUS (Id: C27021),Jaipur,Teacher Training,0,0,0,0,0,0,1,0,0,3.34
767,Tamil Nadu,Anna University Chennai (Id: U0439),Aksheyaa College of Engineering (Id: C16574),Kancheepuram,Technical/Polytechnic,802,206,1008,0,0,0,0,0,0,0
768,Tamil Nadu,Anna University Chennai (Id: U0439),Coimbatore Institute of Technology (Id: C36969),Coimbatore,Technical/Polytechnic,1943,1175,3118,119,134,253,1,0,12.33,7.45
769,Tamil Nadu,Anna University Chennai (Id: U0439),Maria College of Engineering and Technology (Id: C27028),Kanniyakumari,Technical/Polytechnic,954,445,1399,77,24,101,1,1,13.86,11.29
770,Tamil Nadu,Anna University Chennai (Id: U0439),P.A.College of Engineering and Technology (Id: C37041),Coimbatore,Technical/Polytechnic,1011,747,1758,73,48,121,1,0,14.53,8.18
771,Tamil Nadu,Anna University Chennai (Id: U0439),SCAD College of Engineering and Technology (Id: C27048),Tirunelveli,Technical/Polytechnic,1154,700,1854,81,92,173,1,1,10.72,10.24
772,Tamil Nadu,Anna University Chennai (Id: U0439),UNIVERSAL COLLEGE OF ENGINEERING TECHNOLOGY TIRUNELVELI (Id: C45260),Tirunelveli,Technical/Polytechnic,319,47,366,18,19,37,1,0,9.9,6.64
773,Tamil Nadu,Anna University Coimbatore (Id: U0440),Coimbatore Institute of Technology (Id: C36969),Coimbatore,Technical/Polytechnic,1943,1175,3118,119,134,253,1,1,12.33,10.78
774,Tamil Nadu,Anna University Coimbatore (Id: U0440),P.A.College of Engineering and Technology (Id: C37041),Coimbatore,Technical/Polytechnic,1011,747,1758,73,48,121,0,0,14.53,4.85
775,Tamil Nadu,Anna University of Technology Tirunelveli (Id: U0442),Maria College of Engineering and Technology (Id: C27028),Kanniyakumari,Technical/Polytechnic,954,445,1399,77,24,101,0,0,13.86,4.62
776,Tamil Nadu,Anna University of Technology Tirunelveli (Id: U0442),SCAD College of Engineering and Technology (Id: C27048),Tirunelveli,Technical/Polytechnic,1154,700,1854,81,92,173,1,1,10.72,10.24
777,Tamil Nadu,Anna University of Technology Tirunelveli (Id: U0442),UNIVERSAL COLLEGE OF ENGINEERING TECHNOLOGY TIRUNELVELI (Id: C45260),Tirunelveli,Technical/Polytechnic,319,47,366,18,19,37,1,0,9.9,6.64
778,Tamil Nadu,Bharathidasan University Tiruchirappalli (Id: U0448),Annai College of Arts and Science Kumbakonam612 503. (Id: C35839),Thanjavur,Technical/Polytechnic,0,0,0,0,0,0,1,1,0,6.67
779,Tamil Nadu,Bharathidasan University Tiruchirappalli (Id: U0448),A.V.V.M. Sri Pushpam College Poondi  613 503. (Id: C35899),Thiruvarur,Technical/Polytechnic,2849,5155,8004,368,288,656,0,1,12.21,7.41
780,Tamil Nadu,Bharathidasan University Tiruchirappalli (Id: U0448),Cauvery Institute of Technology 758 South Iyyampatty Mullur Pudukkottai  622 004 (Id: C35887),Pudukkottai,Technical/Polytechnic,0,0,0,0,0,0,1,0,0,3.34
781,Tamil Nadu,Bharathidasan University Tiruchirappalli (Id: U0448),Sri Pushpam Institute of Vocational Education and Training 13 V.O.C. Nagar First Street Thanjavur  613 007 (Id: C35819),Thanjavur,Technical/Polytechnic,0,87,87,1,4,5,1,0,17.4,9.14
782,Tamil Nadu,Bharathidasan University Tiruchirappalli (Id: U0448),Sri Renganatha Paduka Vidyalaya Tiruchirappalli  620 006 (Id: C35797),Tiruchirappalli,Technical/Polytechnic,18,0,18,4,0,4,0,1,4.5,4.84
783,Tamil Nadu,Bharathidasan University Tiruchirappalli (Id: U0448),Uswathun Hasana Oriental Arabic College Pallapatti  639 205 (Id: C35870),Karur,Technical/Polytechnic,92,55,147,5,5,10,0,0,14.7,4.9
784,Tamil Nadu,Madurai Kamraj University Madurai (Id: U0463),AKILIKA HERBAL INSTITUTE (Id: C36528),Dindigul,Technical/Polytechnic,8,9,17,3,2,5,1,0,3.4,4.47
785,Tamil Nadu,Madurai Kamraj University Madurai (Id: U0463),AMBIGA COLLEGE OF ARTS and SCIENCE (Id: C36491),Madurai,Teacher Training,0,0,0,0,0,0,0,1,0,3.34
786,Tamil Nadu,Madurai Kamraj University Madurai (Id: U0463),COLLEGE OF GANDHIAN THOUGHT (Id: C36535),Madurai,Technical/Polytechnic,11,5,16,2,2,4,0,1,4,4.67
787,Tamil Nadu,Madurai Kamraj University Madurai (Id: U0463),INSTITUTE OF GANDHIAN STSUDIES and RESEARCH (Id: C36492),Madurai,Technical/Polytechnic,72,43,115,5,8,13,0,0,8.85,2.95
788,Tamil Nadu,Madurai Kamraj University Madurai (Id: U0463),MEE0KSHI MISSION HOSPITAL and RESEARCH CENTRE (Id: C36580),Madurai,Technical/Polytechnic,0,0,0,0,0,0,1,0,0,3.34
789,Tamil Nadu,Madurai Kamraj University Madurai (Id: U0463),RAJ INSTITUTE OF INFORMATION TECHNOLOGY (RAJIIT) (Id: C36554),Madurai,Technical/Polytechnic,0,0,0,0,0,0,0,1,0,3.34
790,Tamil Nadu,Madurai Kamraj University Madurai (Id: U0463),SATHANGAI ACADEMY (Id: C36496),Madurai,Technical/Polytechnic,10,30,40,1,2,3,0,1,13.34,7.78
791,Tamil Nadu,Madurai Kamraj University Madurai (Id: U0463),TAMIL0DU THEOLOGICAL SEMI0RY (Id: C36516),Madurai,Technical/Polytechnic,45,30,75,15,7,22,1,0,3.41,4.47
792,Tamil Nadu,Madurai Kamraj University Madurai (Id: U0463),T.V.S. EDUCATIO0L RESEARCH AND DEVELOPMENT CENTRE (Id: C36560),Madurai,Technical/Polytechnic,0,0,0,0,0,0,1,1,0,6.67
793,Tamil Nadu,Madurai Kamraj University Madurai (Id: U0463),WASH INSTITUTE (Id: C36563),Dindigul,Technical/Polytechnic,20,10,30,2,1,3,0,1,10,6.67
794,Tamil Nadu,Tamilnadu Agricultural University Coimbatore (Id: U0485),Agricultural College and Research Institute Thoothukkudi (Id: C44918),Thoothukkudi,Technical/Polytechnic,166,196,362,66,21,87,1,0,4.17,4.73
795,Tamil Nadu,Tamil Nadu Dr. M.G.R. Medical University  Chennai (Id: U0481),AKS GROUP OF INSTITUTIONS (Inst.Code  580) (Id: C49045),Cuddalore,Nursing,0,0,0,0,0,0,1,0,0,3.34
796,Tamil Nadu,Tamil Nadu Dr. M.G.R. Medical University  Chennai (Id: U0481),AN0I TERESA SCHOOL OF NURSINGAND PARAMEDICAL SCIENCES ARIYALUR ARIYALUR (Id: C45800),Ariyalur,Nursing,0,34,34,0,7,7,0,0,4.86,1.62
797,Tamil Nadu,Tamil Nadu Dr. M.G.R. Medical University  Chennai (Id: U0481),AN0I TERESA SCHOOL OF NURSING AND PARAMEDICAL SCIENCES (Inst. Code  362) ARIYALUR (Id: C45800),Ariyalur,Nursing,0,34,34,0,7,7,0,1,4.86,4.96
798,Tamil Nadu,Tamil Nadu Dr. M.G.R. Medical University  Chennai (Id: U0481),ANTHONIAMMAL COMMUNITY COLLEGE  AACC (Inst.Code  517) (Id: C49072),Thanjavur,Nursing,0,0,0,0,0,0,0,0,0,0
799,Tamil Nadu,Tamil Nadu Dr. M.G.R. Medical University  Chennai (Id: U0481),APOLLO MED SKILLS LIMITED (A UNIT OF APOLLO HOSPITALS EDUCATIO0L TRUST) (Inst.Code  597) CHEN0I (Id: C49003),Chennai,Technical/Polytechnic,0,0,0,0,0,0,1,1,0,6.67
800,Tamil Nadu,Tamil Nadu Dr. M.G.R. Medical University  Chennai (Id: U0481),ARAVIND EYE HOSPITAL (Inst. Code  470) THENI (Id: C45719),Theni,Nursing,0,0,0,0,0,0,1,1,0,6.67
801,Tamil Nadu,Tamil Nadu Dr. M.G.R. Medical University  Chennai (Id: U0481),ARAVIND EYE HOSPITAL (Inst. Code  471) TIRUNELVELI (Id: C45679),Tirunelveli,Nursing,0,0,0,0,0,0,1,0,0,3.34
802,Tamil Nadu,Tamil Nadu Dr. M.G.R. Medical University  Chennai (Id: U0481),ARAVIND EYE HOSPITAL (Inst. Code  472)  COIMBATORE (Id: C45568),Coimbatore,Nursing,0,0,0,0,0,0,1,1,0,6.67
803,Tamil Nadu,Tamil Nadu Dr. M.G.R. Medical University  Chennai (Id: U0481),ARCOT SRI MAHALAKSHMI WOMEN S COLLEGE OF NURSING VELLORE  VELLORE (Id: C45666),Vellore,Nursing,0,179,179,0,25,25,1,0,7.16,5.72
804,Tamil Nadu,Tamil Nadu Dr. M.G.R. Medical University  Chennai (Id: U0481),ASIAN INSTITUTE OF MEDICAL ACADEMY (Inst.Code  531) (Id: C49076),Tiruvannamalai,Nursing,0,0,0,0,0,0,0,0,0,0
805,Tamil Nadu,Tamil Nadu Dr. M.G.R. Medical University  Chennai (Id: U0481),BPR INSTITUTE OF HEALTH and MEDICAL SCIENCE Dr. BALAJI HEALTH AND EDUCATION TRUST (Inst. Code  521) VELLORE (Id: C45832),Vellore,Nursing,0,6,6,1,7,8,0,1,0.75,3.59
806,Tamil Nadu,Tamil Nadu Dr. M.G.R. Medical University  Chennai (Id: U0481),CARE INSTITUTE OF BEHAIRORAL SCIENCES (A UNIT OF CARE TRICHY) CHEN0I (Id: C45476),Chennai,Teacher Training,1,12,13,1,2,3,0,0,4.34,1.45
807,Tamil Nadu,Tamil Nadu Dr. M.G.R. Medical University  Chennai (Id: U0481),CARE INSTITUTE OF BEHAIRORAL SCIENCES (A UNIT OF CARE TRICHY) (Inst. Code  389) CHEN0I (Id: C45476),Chennai,Teacher Training,1,12,13,1,2,3,1,0,4.34,4.78
808,Tamil Nadu,Tamil Nadu Dr. M.G.R. Medical University  Chennai (Id: U0481),DEEPAM HOSPITAL LTD. CHEN0I CHEN0I (Id: C45478),Chennai,Nursing,0,8,8,1,2,3,1,0,2.67,4.23
809,Tamil Nadu,Tamil Nadu Dr. M.G.R. Medical University  Chennai (Id: U0481),DEEPAM HOSPITAL LTD. (Inst. Code  397) CHEN0I (Id: C45478),Chennai,Nursing,0,8,8,1,2,3,0,1,2.67,4.23
810,Tamil Nadu,Tamil Nadu Dr. M.G.R. Medical University  Chennai (Id: U0481),Dr. BALAJI HEALTH AND EDUCATION TRUST VELLORE (Id: C45832),Vellore,Nursing,0,6,6,1,7,8,0,1,0.75,3.59
811,Tamil Nadu,Tamil Nadu Dr. M.G.R. Medical University  Chennai (Id: U0481),D.V.C PARA MEDICAL INSTITUTE (Inst. Code  578) CUDDALORE (Id: C49046),Cuddalore,Nursing,0,0,0,0,0,0,0,1,0,3.34
812,Tamil Nadu,Tamil Nadu Dr. M.G.R. Medical University  Chennai (Id: U0481),GANDHIGRAM INSTITUTE OF RURAL HEALTH AND FAMILY WELFARE TRUST DINDIGUL (Id: C45581),Dindigul,Technical/Polytechnic,2,20,22,8,1,9,1,0,2.45,4.15
813,Tamil Nadu,Tamil Nadu Dr. M.G.R. Medical University  Chennai (Id: U0481),GANDHIGRAM INSTITUTE OF RURAL HEALTH AND FAMILY WELFARE TRUST (Inst. Code  040) DINDIGUL (Id: C45581),Dindigul,Nursing,2,20,22,8,1,9,0,0,2.45,0.82
814,Tamil Nadu,Tamil Nadu Dr. M.G.R. Medical University  Chennai (Id: U0481),GEM HOSPITAL and RESEARCH CENTRE PVT. LTD. (Inst. Code  421) COIMBATORE (Id: C45564),Coimbatore,Nursing,0,0,0,0,0,0,1,0,0,3.34
815,Tamil Nadu,Tamil Nadu Dr. M.G.R. Medical University  Chennai (Id: U0481),GOVERNMENT MOHAN KUMARAMANGALAM MEDICAL COLLEGE SALEM SALEM (Id: C45690),Salem,Nursing,254,813,1067,144,89,233,1,1,4.58,8.2
816,Tamil Nadu,Tamil Nadu Dr. M.G.R. Medical University  Chennai (Id: U0481),INDIRA COLLEGE OF NURSING TIRUCHIRAPALLI (Id: C45687),Tiruchirappalli,Nursing,23,156,179,7,0,7,1,0,25.58,11.86
817,Tamil Nadu,Tamil Nadu Dr. M.G.R. Medical University  Chennai (Id: U0481),INDIRA COLLEGE OF NURSING TIRUCHIRAPALLI TIRUCHIRAPALLI (Id: C45687),Tiruchirappalli,Nursing,23,156,179,7,0,7,0,0,25.58,8.53
818,Tamil Nadu,Tamil Nadu Dr. M.G.R. Medical University  Chennai (Id: U0481),JAYAM PARAMEDICAL SCIENCES (MVK NURSING HOME) (Inst. Code  497) THANJAVUR (Id: C45765),Thanjavur,Nursing,0,0,0,0,0,0,1,1,0,6.67
819,Tamil Nadu,Tamil Nadu Dr. M.G.R. Medical University  Chennai (Id: U0481),JP PARAMEDICAL INSTITUTE (Inst. Code  599) CUDDALORE (Id: C49047),Cuddalore,Nursing,0,0,0,0,0,0,1,0,0,3.34
820,Tamil Nadu,Tamil Nadu Dr. M.G.R. Medical University  Chennai (Id: U0481),KARPAGA VI0YAGA INSTITUTE OF MEDICAL SCIENCESAND RESEARCH CENTRE KANCHIPURAM KANCHIPURAM (Id: C45816),Kancheepuram,Nursing,0,0,0,0,0,0,0,1,0,3.34
821,Tamil Nadu,Tamil Nadu Dr. M.G.R. Medical University  Chennai (Id: U0481),KRISH0 HOSPITALAND RESEARCH FOUNDATION CUDDALORE CUDDALORE (Id: C45571),Cuddalore,Technical/Polytechnic,7,7,14,4,0,4,1,1,3.5,7.84
822,Tamil Nadu,Tamil Nadu Dr. M.G.R. Medical University  Chennai (Id: U0481),KRISH0 HOSPITAL AND RESEARCH FOUNDATION (Inst. Code  456) CUDDALORE (Id: C45571),Cuddalore,Nursing,7,7,14,4,0,4,1,1,3.5,7.84
823,Tamil Nadu,Tamil Nadu Dr. M.G.R. Medical University  Chennai (Id: U0481),KUMAR EDUCATIO0L INSTITUTE CUDDALORE CUDDALORE (Id: C45827),Cuddalore,Nursing,0,28,28,0,5,5,0,1,5.6,5.2
824,Tamil Nadu,Tamil Nadu Dr. M.G.R. Medical University  Chennai (Id: U0481),KUMAR EDUCATIO0L INSTITUTE (Inst. Code  510) CUDDALORE (Id: C45827),Cuddalore,Nursing,0,28,28,0,5,5,1,0,5.6,5.2
825,Tamil Nadu,Tamil Nadu Dr. M.G.R. Medical University  Chennai (Id: U0481),MEDISCAN SYSTEMS (Inst. Code  406) CHEN0I (Id: C45481),Chennai,Technical/Polytechnic,0,0,0,0,0,0,0,1,0,3.34
826,Tamil Nadu,Tamil Nadu Dr. M.G.R. Medical University  Chennai (Id: U0481),MEE0KSHI MISSION HOSPITAL AND RESEARCH CENTRE MADURAI (Id: C47555),Madurai,Technical/Polytechnic,8,42,50,4,1,5,0,1,10,6.67
827,Tamil Nadu,Tamil Nadu Dr. M.G.R. Medical University  Chennai (Id: U0481),M.K. EDUCATIO0L INSTITUTE ARIYALUR ARIYALUR (Id: C45407),Ariyalur,Nursing,0,8,8,1,4,5,1,0,1.6,3.87
828,Tamil Nadu,Tamil Nadu Dr. M.G.R. Medical University  Chennai (Id: U0481),M.K. EDUCATIO0L INSTITUTE (Inst. Code  511) ARIYALUR (Id: C45407),Ariyalur,Nursing,0,8,8,1,4,5,1,0,1.6,3.87
829,Tamil Nadu,Tamil Nadu Dr. M.G.R. Medical University  Chennai (Id: U0481),NEHRU COLLEGE OF NURSING (Inst. Code  555) TRICHY (Id: C49088),Tiruchirappalli,Nursing,0,0,0,0,0,0,0,1,0,3.34
830,Tamil Nadu,Tamil Nadu Dr. M.G.R. Medical University  Chennai (Id: U0481),OMAYAL ACHI COLLEGE OF NURSING (Inst. Code  375) CHEN0I (Id: C48991),Chennai,Nursing,0,0,0,0,0,0,1,0,0,3.34
831,Tamil Nadu,Tamil Nadu Dr. M.G.R. Medical University  Chennai (Id: U0481),RABINRA0TH TAGORE COLLEGE OF NURSING FOR WOMEN SALEM SALEM (Id: C45698),Salem,Nursing,0,55,55,0,12,12,0,1,4.59,4.87
832,Tamil Nadu,Tamil Nadu Dr. M.G.R. Medical University  Chennai (Id: U0481),REGIO0L INSTITUTE OF OPHTHALMOLOGY AND GOVT. OPHTHALMIC HOSPITAL (MMC) EGMORE (Inst. Code  416) CHEN0I (Id: C49018),Chennai,Technical/Polytechnic,0,0,0,0,0,0,1,1,0,6.67
833,Tamil Nadu,Tamil Nadu Dr. M.G.R. Medical University  Chennai (Id: U0481),RIGHT HOSPITALS CHEN0I CHEN0I (Id: C45508),Chennai,Technical/Polytechnic,1,2,3,8,1,9,1,1,0.34,6.78
834,Tamil Nadu,Tamil Nadu Dr. M.G.R. Medical University  Chennai (Id: U0481),SAKTHI NURSING SCHOOL CHEN0I (Id: C45505),Chennai,Nursing,0,5,5,0,4,4,1,0,1.25,3.75
835,Tamil Nadu,Tamil Nadu Dr. M.G.R. Medical University  Chennai (Id: U0481),SAKTHI NURSING SCHOOL CHEN0I CHEN0I (Id: C45505),Chennai,Nursing,0,5,5,0,4,4,1,0,1.25,3.75
836,Tamil Nadu,Tamil Nadu Dr. M.G.R. Medical University  Chennai (Id: U0481),SAKTHI NURSING SCHOOL (Inst. Code  480) CHEN0I (Id: C45505),Chennai,Nursing,0,5,5,0,4,4,1,0,1.25,3.75
837,Tamil Nadu,Tamil Nadu Dr. M.G.R. Medical University  Chennai (Id: U0481),SHAKTHI COLLEGE OF PARAMEDICAL SCIENCE THANJAVUR (Id: C45818),Thanjavur,Nursing,0,9,9,0,4,4,0,1,2.25,4.09
838,Tamil Nadu,Tamil Nadu Dr. M.G.R. Medical University  Chennai (Id: U0481),SHERIL MARTH PARAMEDICAL INSTITUTION THANJAVUR THANJAVUR (Id: C45759),Thanjavur,Nursing,0,30,30,1,5,6,1,0,5,5
839,Tamil Nadu,Tamil Nadu Dr. M.G.R. Medical University  Chennai (Id: U0481),SHERLI MARIN PARAMEDICAL INSTITUTION (Inst. Code  516) THANJAVUR (Id: C45759),Thanjavur,Nursing,0,30,30,1,5,6,1,1,5,8.34
840,Tamil Nadu,Tamil Nadu Dr. M.G.R. Medical University  Chennai (Id: U0481),SHREE SIVAA HOSPITAL PVT. LTD. COIMBATORE COIMBATORE (Id: C45560),Coimbatore,Nursing,6,0,6,0,0,0,1,1,0,6.67
841,Tamil Nadu,Tamil Nadu Dr. M.G.R. Medical University  Chennai (Id: U0481),SHREE SIVAA HOSPITAL PVT. LTD. (Inst. Code  390) COIMBATORE (Id: C45560),Coimbatore,Nursing,6,0,6,0,0,0,0,0,0,0
842,Tamil Nadu,Tamil Nadu Dr. M.G.R. Medical University  Chennai (Id: U0481),SREE ABIRAMI HOSPITAL (P) LTD. COIMBATORE COIMBATORE (Id: C45558),Coimbatore,Nursing,0,5,5,7,0,7,0,1,0.72,3.58
843,Tamil Nadu,Tamil Nadu Dr. M.G.R. Medical University  Chennai (Id: U0481),SREE ABIRAMI HOSPITAL (P) LTD. (Inst. Code  387) COIMBATORE (Id: C45558),Coimbatore,Nursing,0,5,5,7,0,7,1,0,0.72,3.58
844,Tamil Nadu,Tamil Nadu Dr. M.G.R. Medical University  Chennai (Id: U0481),SRI AN0MALAIYAR COLLEGE OF PARAMEDICAL SCIENCES (Inst. Code  559) DHARMAPURI (Id: C49048),Dharmapuri,Nursing,0,0,0,0,0,0,0,1,0,3.34
845,Tamil Nadu,Tamil Nadu Dr. M.G.R. Medical University  Chennai (Id: U0481),SRILAKSHMI HAIGIRIVASH EDUCATIO0L TRUST (Inst. Code  435) VILLUPURAM (Id: C45732),Viluppuram,Nursing,0,38,38,0,8,8,0,0,4.75,1.59
846,Tamil Nadu,Tamil Nadu Dr. M.G.R. Medical University  Chennai (Id: U0481),SRILAKSHMI HAIGIRIVASH EDUCATIO0L TRUST VILLUPURAM VILLUPURAM (Id: C45732),Viluppuram,Nursing,0,38,38,0,8,8,0,0,4.75,1.59
847,Tamil Nadu,Tamil Nadu Dr. M.G.R. Medical University  Chennai (Id: U0481),SRI MOOKAMBIKA COLLEGE OF NURSING KANYAKUMARI  KANYAKUMARI (Id: C45617),Kanniyakumari,Nursing,0,75,75,0,68,68,0,0,1.11,0.37
848,Tamil Nadu,Tamil Nadu Dr. M.G.R. Medical University  Chennai (Id: U0481),SRI SAKTHI 0RAYANI SCHOOL OF NURSING and PARAMEDICAL SCIENCES (Inst. Code  577) VELLORE (Id: C49099),Vellore,Teacher Training,0,0,0,0,0,0,1,1,0,6.67
849,Tamil Nadu,Tamil Nadu Dr. M.G.R. Medical University  Chennai (Id: U0481),SRI VIRUDHAMBIGAI PARAMEDICAL COLLEGE CUDDALORE CUDDALORE (Id: C45794),Cuddalore,Nursing,0,28,28,0,7,7,0,1,4,4.67
850,Tamil Nadu,Tamil Nadu Dr. M.G.R. Medical University  Chennai (Id: U0481),SRI VIRUDHAMBIGAI PARAMEDICAL COLLEGE (Inst. Code  474) CUDDALORE (Id: C45794),Cuddalore,Nursing,0,28,28,0,7,7,0,1,4,4.67
851,Tamil Nadu,Tamil Nadu Dr. M.G.R. Medical University  Chennai (Id: U0481),St. ISABELS COLLEGE OF NURSING CHEN0I (Id: C47566),Chennai,Nursing,0,174,174,0,23,23,0,0,7.57,2.53
852,Tamil Nadu,Tamil Nadu Dr. M.G.R. Medical University  Chennai (Id: U0481),ST.JOHN'S PARAMEDICAL COLLEGE (Inst. Code  520) PUDUKKOTTAI (Id: C45828),Pudukkottai,Nursing,0,10,10,0,4,4,0,1,2.5,4.17
853,Tamil Nadu,Tamil Nadu Dr. M.G.R. Medical University  Chennai (Id: U0481),ST.JOHN S PARAMEDICAL COLLEGE PUDUKKOTTAI (Id: C45828),Pudukkottai,Nursing,0,10,10,0,4,4,0,1,2.5,4.17
854,Tamil Nadu,Tamil Nadu Dr. M.G.R. Medical University  Chennai (Id: U0481),ST. JOSEPH'S PARAMEDICAL COLLEGE (Inst. Code  485) KRISH0GIRI (Id: C45635),Krishnagiri,Nursing,1,7,8,1,6,7,1,1,1.15,7.05
855,Tamil Nadu,Tamil Nadu Dr. M.G.R. Medical University  Chennai (Id: U0481),ST. JOSEPH S PARAMEDICAL COLLEGE KRISH0GIRI KRISH0GIRI (Id: C45635),Krishnagiri,Nursing,1,7,8,1,6,7,0,0,1.15,0.39
