AISHE_ID,CollegeName,State,Teacher,Student,Hostels,Labs,PhD,S_F_Ratio,Predicted Rank
C-20066,"Sanskrit Pathshala, Dhipokhar",Uttar Pradesh,4,81,0,10,100,20.25,9.272296363
C-11431,"Dev Bhoomi Group Of Institutes,",Himachal Pradesh,19,0,2,10,52,0,9.273295728
C-6786,SMT K B DAVE COLLEGE OF EDUCATION,Gujarat,16,188,1,10,89,11.75,9.273792336
C-49882,SHIVAJI DEGREE COLLEGE,Telangana,16,381,0,10,83,23.8125,9.273792336
C-49468,"SIDDHI B. ED. COLLEGE, AHMEDABAD",Gujarat,10,200,0,10,81,20,9.273792336
C-57239,UNIVERSAL COLLEGE OF ARTS AND,Kerala,24,492,0,10,71,20.5,9.284261915
C-57432,"Adhyapak Mahavidyalaya, General",Maharashtra,2,0,0,10,57,0,9.320103701
C-41218,Synergy Foundations Synergy,Maharashtra,4,18,0,0,74,4.5,9.320103701
C-32668,Sri Rama Krishna Degree,Andhra Pradesh,11,362,0,10,59,32.90909091,9.321761367
C-59882,Abdul Razzak Quadri Institute of P.,Maharashtra,5,9,0,10,48,1.8,9.326880505
C-52109,WESTWOOD INSTITUTE OF HOTEL,Punjab,16,174,2,10,58,10.875,9.340473759
C-36466,Shyama Prasad Mukherji Govt.,Uttar Pradesh,50,1630,0,10,63,32.6,9.347384532
C-45489,Dr.MOHAN'S DIABETES EDUCATION,Tamil Nadu,3,0,0,10,57,0,9.366415066
C-42894,"Late. R.G.Deshmukh Arts,",Maharashtra,2,313,0,0,90,156.5,9.374694084
C-11994,Rabindra Siksha Sammilani,West Bengal,16,371,0,10,68,23.1875,9.375642628
C-29796,"Shri Saibaba College, Khaknar, Dist.",Madhya Pradesh,7,24,0,10,68,3.428571429,9.380041122
C-16290,"Rang Frah Government College,",Arunachal Pradesh,15,253,4,10,68,16.86666667,9.398276376
C-28237,RAO DALIP SINGH COLLEGE OF,Haryana,10,100,0,10,76,10,9.410649971
C-29176,"Punjab Public College of Nursing, VPO.",Punjab,49,395,2,0,83,8.06122449,9.414670745
C-54779,MAHATMA GANDHI COMPUTER,Madhya Pradesh,8,92,0,10,75,11.5,9.426576698
C-25060,Kurinji College of Engineering and,Tamil Nadu,70,329,2,10,64,4.7,9.43309649
C-30422,"Mediciti Inst. of Medical Sciences,",Telangana,159,732,2,10,91,4.603773585,9.438667739
C-31371,CAREER COMPUTER INSTITUTE OF,Madhya Pradesh,14,12,0,0,53,0.857142857,9.439110267
C-60433,"Central Institute of Education,",Maharashtra,5,0,2,10,59,0,9.454884876
C-1217,"Shivam Institute of Management,",Gujarat,5,17,0,10,75,3.4,9.457564073
C-60910,G MADEGOWDA INSTITUTE OF,Karnataka,4,11,2,10,50,2.75,9.488204598
C-57529,NATIONAL COLLEGE OF EDUCATION,Tamil Nadu,16,100,0,10,60,6.25,9.494206666
C-27286,"Manair College of Management,",Telangana,7,24,0,0,90,3.428571429,9.494676449
C-44509,"NKGS, College of Agriculture, Nanded Road,",Maharashtra,33,446,2,10,92,13.51515152,9.519771584
C-49608,MARWADI EDUCATION FOUNDATION-,Gujarat,30,582,2,10,53,19.4,9.5215663
C-15424,CHACHA VISHAL SINGH KANYA,Uttar Pradesh,9,0,0,10,56,0,9.525719221
C-1099,College of Physiotherapy,Gujarat,22,0,0,10,51,0,9.534946783
C-18724,YGP memorial College of Arts and,Maharashtra,7,108,0,10,61,15.42857143,9.53907288
C-1114,Shree Sarayu Ramanand Sanskrit,Gujarat,4,31,1,10,91,7.75,9.545140735
C-35682,"SANA College of Education, Shantiniketan",Karnataka,16,164,0,10,95,10.25,9.557231776
C-60302,Indian Naval Ship Hamla,Maharashtra,16,78,2,10,66,4.875,9.574215473
C-54308,SHIV NARAIN SMARK MAHAVIDYALA,Uttar Pradesh,5,191,0,10,89,38.2,9.57612811
C-55440,MORJIWALA B.Ed. COLLEGE JASIDIH,Jharkhand,16,200,0,10,69,12.5,9.591300407
C-13394,"Jhamman Lal Degree College,",Uttar Pradesh,62,3238,0,10,73,52.22580645,9.603543142
C-11211,"Dr.D.Y.Patil Pratishathan Sanchalit,",Maharashtra,1,0,0,0,70,0,9.617393408
C-15023,Jayanthi College of Education,Tamil Nadu,12,193,0,10,75,16.08333333,9.620660073
C-45979,"SARFRAZ COLLEGE OF EDUCATION,",Jammu and Kashmir,15,264,0,0,84,17.6,9.6239132
C-14600,Sathyasai B.Ed. College,Tamil Nadu,14,200,0,10,55,14.28571429,9.629484448
C-31126,CENTRE OF COMPUTERS & COMMUNICATI,Uttar Pradesh,4,0,0,0,69,0,9.637763466
