AISHE_ID,CollegeName,State,Teacher,Student,Hostels,Labs,PhD,S_F_Ratio,Predicted Rank
C-10257,A & M Institute of Management,Punjab,32,427,0,10.0,78,13.34375,59.60563
C-45314,"A B N SEAL COLLEGE, COOCHBEHAR",West Bengal,78,2720,2,10.0,87,34.87179487,298.28488
C-18137,A B R College of Engineering and,Andhra Pradesh,136,956,2,10.0,50,7.029411765,111.54811
C-47401,"A C M COLLEGE, Seoni",Madhya Pradesh,17,178,0,10.0,52,10.47058824,26.77972
C-16600,A C T College of Engineering and,Tamil Nadu,73,114,2,10.0,67,1.561643836,23.99035
C-45351,"A C TRAINING COLLEGE, JALPAIGURI",West Bengal,12,100,1,10.0,43,8.333333332999999,16.635141
C-48701,"A D S NURSING COLLEGE,",Madhya Pradesh,3,134,2,10.0,61,44.66666667,21.995646
C-40319,A E C S Maruthi College of,Karnataka,32,155,1,10.0,77,4.84375,25.71021
C-15759,A G PATIL INSTITUTE OF TECHNOLOGY,Maharashtra,57,655,2,10.0,88,11.49122807,85.73185
C-56544,A H M A DEGREE COLLEGE,Uttar Pradesh,8,272,0,10.0,93,34.0,40.984932
C-40086,"A J Inst. of Medical Sciences,",Karnataka,19,806,4,10.0,82,42.42105263,99.67391
C-56446,A J Institute of Engineering and,Karnataka,55,577,2,10.0,95,10.49090909,78.725334
C-40246,A J Institute of Medical Sciences,Karnataka,470,912,2,10.0,90,1.940425532,115.1799
C-50131,"A K DEGREE COLLEGE, CHHIBRAMAU",Uttar Pradesh,21,461,0,10.0,74,21.95238095,62.490437
C-50994,"A K G COLLEGE BIKAMAU,",Uttar Pradesh,20,260,1,10.0,73,13.0,38.30876
C-50539,A L T TRAINING COLLEGE,Gujarat,4,16,2,0.0,62,4.0,6.82861
C-1231,"A M C Engineering College ,",Karnataka,272,2334,2,10.0,60,8.580882353,259.07672
C-44693,A M E X,West Bengal,9,360,0,10.0,71,40.0,50.77778
C-40463,A M E’s Dental College & Hospital,Karnataka,34,161,2,10.0,62,4.7352941180000006,25.405571
C-57106,A M TEACHERS TRAINING,West Bengal,30,396,2,10.0,46,13.2,50.81509
C-46712,A N A COLLEGE OF ENGINEERING,Uttar Pradesh,124,492,1,10.0,58,3.967741935,64.4953
C-38645,"A N B.Ed. College, Jaipur",Rajasthan,16,197,0,10.0,82,12.3125,31.126923
C-45378,"A N COLLEGE, DUMKA",Jharkhand,55,6132,2,0.0,65,111.4909091,638.30176
C-38300,"A N TT College, Sikar",Rajasthan,16,173,0,10.0,77,10.8125,27.864906
C-11444,A One College of Education Raja Ka Bag,Himachal Pradesh,9,99,0,10.0,71,11.0,18.445356
C-14139,"A P N P.G. College, Basti",Uttar Pradesh,23,1809,0,0.0,70,78.65217391,199.10518
C-50450,"A P SHAH INSTITUTE OF TECHNOLOGY,",Maharashtra,96,1553,0,10.0,37,16.17708333,170.15779
C-50313,"A P TRIVEDI ARTS, COMMERCE",Gujarat,16,1029,0,10.0,79,64.3125,122.59755
C-16544,A R Engineering College,Tamil Nadu,79,362,2,10.0,97,4.582278481,52.586315
C-42258,"A R G Arts and Commerce College,",Karnataka,7,268,0,10.0,72,38.28571429,39.23971
C-16575,A R M College of Engineering and,Tamil Nadu,104,1129,2,10.0,76,10.85576923,133.72404
C-48589,"A R S BEd COLLEGE, BOKARO",Jharkhand,17,100,0,10.0,62,5.882352941000001,17.959314
C-45389,"A S COLLEGE, DEOGHAR",Jharkhand,52,4281,1,10.0,75,82.32692308,453.49545
C-10096,A S S NARENDRA PHYSICAL EDN,Karnataka,5,62,1,10.0,86,12.4,16.425241
C-47806,Â ST MARYs COLLEGE BACHELOR OF,West Bengal,14,99,0,10.0,75,7.071428571,18.732033
C-39096,"A V M T T College, Bharatpur",Rajasthan,19,362,6,10.0,53,19.05263158,48.08625
C-53,"A-ONE PHARMACY COLLEGE,",Gujarat,29,271,0,10.0,52,9.344827586000001,38.51081
C-18987,"A. College, Mahua",Bihar,40,737,0,10.0,90,18.425,94.50253
C-176,"A. D. Patel Institute Of Technology,",Gujarat,127,2127,4,10.0,81,16.7480315,238.47139
C-55412,"A. J. K. College, Asanboni,",Jharkhand,16,233,0,10.0,65,14.5625,34.44348
C-57045,A. K. Institute of Nursing Manendragarh,Chattisgarh,20,148,2,10.0,80,7.4,25.04512
C-40173,A. M Shaikh Homoeopathic Medical,Karnataka,48,589,2,10.0,45,12.27083333,71.03257
C-55606,A. M. College of Law,Uttar Pradesh,3,305,0,10.0,86,101.66666670000001,44.68873
C-29590,"A. M. Degree College, Araria",Bihar,50,1435,0,0.0,89,28.7,166.02847
C-43566,A. N. Magadh Medical College &,Bihar,115,100,8,10.0,76,0.869565217,21.766655
C-57226,A. N. Sinha Institute of Social Studies,Bihar,17,10,0,0.0,57,0.588235294,4.5858216
C-40016,"A. P.C. COLLEGE , NEEMUCH",Rajasthan,21,1056,1,10.0,54,50.28571429,120.38375
C-8784,A. P.S.M. College,Bihar,10,4717,0,10.0,50,471.7,491.1405
C-59039,A. R. College of Engineering and,Tamil Nadu,99,624,2,10.0,68,6.303030303,79.58342
C-460,A. R. COLLEGE OF PHARMACY & G.H.P.,Gujarat,4,88,2,10.0,59,22.0,16.27043
C-21419,"A. S. College, Srinagar",Jammu and Kashmir,88,4297,1,10.0,92,48.82954545,459.95456
C-495,"A. V. Patel Commerce College,",Gujarat,20,596,0,0.0,47,29.8,70.82463
C-364,"A. Y. Dadabhai Technical Institute,",Gujarat,41,917,0,10.0,65,22.36585366,108.813515
C-35789,"A.A. Government Arts College,",Tamil Nadu,56,2697,1,10.0,67,48.16071429,291.06503
C-10939,"A.A.Training College, Fakirpur,",Odisha,4,196,0,10.0,53,49.0,29.090641
C-21350,A.B. College,Odisha,25,1158,2,10.0,93,46.32,138.55142
C-44544,A.B.M. COLLEGE NAGPUR,Maharashtra,9,46,0,0.0,92,5.1111111110000005,14.581654
C-39231,A.B.R College of Education,Andhra Pradesh,15,221,0,10.0,73,14.73333333,33.4177
C-27113,"A.B.R. College, Sasaram",Bihar,12,1410,0,10.0,91,117.5,163.73422
C-19028,"A.B.S.College, Lalganj",Bihar,161,5256,0,10.0,92,32.64596273,560.10876
C-19320,A.B.S.M. INSTITUTE OF DENTAL,Karnataka,129,638,4,10.0,87,4.945736434,84.771774
C-39598,"A.B.Womens Degree College,",Odisha,21,112,0,10.0,56,5.333333333,19.009613
C-25071,A.C. College of Technology Campus,Tamil Nadu,132,2408,5,10.0,94,18.24242424,269.83197
C-34334,A.C.E. Foundation's Maharashtra,Maharashtra,10,197,0,10.0,25,19.7,26.143707
C-34267,A.D. Deshmukh College of,Maharashtra,14,146,0,10.0,78,10.42857143,24.649927
C-34604,"A.D. Institute of Science and Management,",Maharashtra,1,171,0,10.0,73,171.0,27.315771
C-39648,"A.D. Mahavidyalaya, Brahmagiri",Odisha,22,869,1,10.0,51,39.5,100.80187
C-35805,"A.D.M. College for Women, Nagapattinam",Tamil Nadu,105,1596,1,10.0,78,15.2,182.8361
C-17113,A.D.P. College,Assam,84,2571,2,10.0,53,30.60714286,276.33136
C-52932,A.D.S. GROUP OF COLLEGE VILL PARVALIA,Madhya Pradesh,9,37,0,10.0,51,4.1111111110000005,10.491554
C-17681,A.D.V.S. Arts & Commerce First Grade,Karnataka,13,137,1,10.0,64,10.53846154,22.586275
C-40990,"A.E.S.College, Tarbha",Odisha,8,816,0,10.0,77,102.0,99.915634
C-25309,A.G. & S.G.S. COLLEGE,Andhra Pradesh,60,1245,1,10.0,64,20.75,143.05101
C-41111,A.G. Arts and Science College,Tamil Nadu,61,1284,0,0.0,57,21.04918033,144.46838
C-14965,A.G. College of Education,Tamil Nadu,16,198,0,10.0,88,12.375,31.663826
C-17760,"A.G.B. First Grade College, Davangere",Karnataka,9,57,0,0.0,65,6.333333333,12.93112
C-32664,A.G.K.M.College,Andhra Pradesh,17,142,1,0.0,78,8.352941176,22.686518
C-8710,A.H.S.A. College,Bihar,16,3541,0,10.0,79,221.3125,377.88907
